OID_,STATUS,TYPE,LAT,LON
131,Active,Diesel,29.742193660000002,-95.00941334
132,Active,Diesel,29.741919639999999,-95.00959649
133,Active,Diesel,29.741611559999999,-95.00983845
134,Decommissioned,,29.741305530000002,-95.00850626
135,Decommissioned,,29.740432810000001,-95.00767551
136,Active,Refined Crude,29.747473580000001,-94.99073928
137,Active,Refined Crude,29.746493200000000,-94.99150217
138,Active,Refined Crude,29.747172100000000,-94.99272135
139,Active,Refined Crude,29.746147860000001,-94.99340498
140,Active,Refined Crude,29.745455450000001,-94.99224682
141,Active,Refined Crude,29.744457199999999,-94.99297637
142,Active,Refined Crude,29.745082889999999,-94.99421521
143,Active,Refined Crude,29.743974170000001,-94.99496666
144,Active,Refined Crude,29.743300479999998,-94.99407286
145,Active,Refined Crude,29.743677649999999,-94.99374601
146,Active,Refined Crude,29.743415649999999,-94.99313224
147,Active,Refined Crude,29.742937770000001,-94.99344661
148,Active,Refined Crude,29.742308349999998,-94.99393116
149,Active,Refined Crude,29.742471599999998,-94.99504265
150,Active,Refined Crude,29.743018880000001,-94.99603937
151,Active,Refined Crude,29.741775250000000,-94.9942987
152,Active,Refined Crude,29.741685279999999,-94.99523585
153,Active,Refined Crude,29.741989730000000,-94.99583153
154,Active,Refined Crude,29.741498029999999,-94.99616286
155,Active,Refined Crude,29.741164460000000,-94.99555189
156,Active,Refined Crude,29.740745660000002,-94.99503325
157,Active,Refined Crude,29.741250200000000,-94.99465215
158,Active,Refined Crude,29.740647800000001,-94.99594053
159,Active,Refined Crude,29.740999120000001,-94.99666575
160,Active,Refined Crude,29.741302789999999,-94.99719002
161,Active,Refined Crude,29.741948380000000,-94.99722922
162,Active,Refined Crude,29.742298410000000,-94.99695273
163,Active,Refined Crude,29.740667049999999,-94.99747619
164,Active,Refined Crude,29.740475770000000,-94.99689728
165,Active,Refined Crude,29.739840330000000,-94.99666902
166,Active,Refined Crude,29.739666790000001,-94.99579153
167,Active,Refined Crude,29.739137589999999,-94.99617337
168,Active,Refined Crude,29.738726740000001,-94.99667259
169,Active,Refined Crude,29.739230599999999,-94.99709393
170,Active,Refined Crude,29.737981909999998,-94.99680627
171,Active,Refined Crude,29.737771270000000,-94.99695138
172,Active,Refined Crude,29.738566039999998,-94.99776205
173,Active,Refined Crude,29.739647070000000,-94.99756159
174,Active,Refined Crude,29.739443210000001,-94.99773381
175,Active,Refined Crude,29.739257049999999,-94.99789849
176,Active,Refined Crude,29.739099889999999,-94.99803466
177,Active,Refined Crude,29.738888630000002,-94.99815927
178,Active,Refined Crude,29.738731470000001,-94.99829544
179,Active,Refined Crude,29.738532150000001,-94.99841958
180,Active,Refined Crude,29.738671130000000,-94.99867414
181,Active,Refined Crude,29.738846389999999,-94.99854411
182,Active,Refined Crude,29.739033580000001,-94.9984136
183,Active,Refined Crude,29.739214400000002,-94.99826966
